2026-05-10 00:00	6.6	0.00
2026-05-10 01:00	5.7	0.00
2026-05-10 02:00	5.1	0.00
2026-05-10 03:00	4.2	0.00
2026-05-10 04:00	3.6	0.00
2026-05-10 05:00	3.5	0.00
2026-05-10 06:00	4.6	0.00
2026-05-10 07:00	5.9	0.00
2026-05-10 08:00	7.6	0.00
2026-05-10 09:00	8.9	0.00
2026-05-10 10:00	9.8	0.00
2026-05-10 11:00	10.7	0.00
2026-05-10 12:00	11.5	0.00
2026-05-10 13:00	11.9	0.00
2026-05-10 14:00	12.2	0.00
2026-05-10 15:00	12.1	0.00
2026-05-10 16:00	11.9	0.00
2026-05-10 17:00	11.4	0.00
2026-05-10 18:00	11.0	0.00
2026-05-10 19:00	10.2	0.00
2026-05-10 20:00	8.8	0.00
2026-05-10 21:00	8.1	0.00
2026-05-10 22:00	7.6	0.00
2026-05-10 23:00	7.2	0.00
